   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 30, 38, 200, 1, normal 
0, 1, 0, 0, 23, 29, 200, 1, normal 
0, 2, 0, 0, 24, 30, 200, 1, normal 
0, 3, 0, 0, 6, 8, 200, 1, normal 
0, 4, 0, 0, 16, 20, 200, 1, normal 
0, 5, 0, 0, 47, 59, 200, 1, normal 
0, 6, 0, 0, 44, 55, 200, 1, normal 
0, 7, 0, 0, 33, 42, 200, 1, normal 
0, 8, 0, 0, 8, 11, 200, 1, normal 
0, 9, 0, 0, 20, 25, 200, 1, normal 
0, 10, 0, 0, 29, 37, 200, 1, normal 
