   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 66, 83, 350, 1, normal 
0, 1, 0, 0, 12, 15, 350, 1, normal 
0, 2, 0, 0, 24, 30, 350, 1, normal 
0, 3, 0, 0, 73, 92, 350, 1, normal 
0, 4, 0, 0, 76, 95, 350, 1, normal 
0, 5, 0, 0, 76, 95, 350, 1, normal 
0, 6, 0, 0, 50, 63, 350, 1, normal 
0, 7, 0, 0, 43, 54, 350, 1, normal 
0, 8, 0, 0, 52, 65, 350, 1, normal 
0, 9, 0, 0, 2, 3, 350, 1, normal 
0, 10, 0, 0, 60, 76, 350, 1, normal 
0, 11, 0, 0, 41, 52, 350, 1, normal 
0, 12, 0, 0, 17, 22, 350, 1, normal 
0, 13, 0, 0, 78, 98, 350, 1, normal 
0, 14, 0, 0, 12, 15, 350, 1, normal 
