   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 25, 32, 400, 1, normal 
0, 1, 0, 0, 44, 56, 400, 1, normal 
0, 2, 0, 0, 43, 54, 400, 1, normal 
0, 3, 0, 0, 39, 49, 400, 1, normal 
0, 4, 0, 0, 26, 33, 400, 1, normal 
0, 5, 0, 0, 66, 83, 400, 1, normal 
0, 6, 0, 0, 76, 96, 400, 1, normal 
0, 7, 0, 0, 62, 78, 400, 1, normal 
0, 8, 0, 0, 47, 59, 400, 1, normal 
0, 9, 0, 0, 60, 75, 400, 1, normal 
0, 10, 0, 0, 20, 26, 400, 1, normal 
0, 11, 0, 0, 54, 68, 400, 1, normal 
0, 12, 0, 0, 46, 58, 400, 1, normal 
0, 13, 0, 0, 36, 46, 400, 1, normal 
