   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 22, 28, 250, 1, normal 
0, 1, 0, 0, 40, 51, 250, 1, normal 
0, 2, 0, 0, 76, 96, 250, 1, normal 
0, 3, 0, 0, 20, 26, 250, 1, normal 
0, 4, 0, 0, 48, 60, 250, 1, normal 
0, 5, 0, 0, 28, 36, 250, 1, normal 
0, 6, 0, 0, 59, 74, 250, 1, normal 
0, 7, 0, 0, 33, 42, 250, 1, normal 
0, 8, 0, 0, 19, 24, 250, 1, normal 
0, 9, 0, 0, 12, 15, 250, 1, normal 
0, 10, 0, 0, 64, 80, 250, 1, normal 
0, 11, 0, 0, 65, 82, 250, 1, normal 
0, 12, 0, 0, 60, 76, 250, 1, normal 
0, 13, 0, 0, 74, 93, 250, 1, normal 
0, 14, 0, 0, 36, 45, 250, 1, normal 
0, 15, 0, 0, 53, 67, 250, 1, normal 
0, 16, 0, 0, 61, 77, 250, 1, normal 
0, 17, 0, 0, 27, 34, 250, 1, normal 
0, 18, 0, 0, 3, 4, 250, 1, normal 
0, 19, 0, 0, 45, 57, 250, 1, normal 
