   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 32, 40, 250, 1, normal 
0, 1, 0, 0, 51, 64, 250, 1, normal 
0, 2, 0, 0, 79, 99, 250, 1, normal 
0, 3, 0, 0, 28, 36, 250, 1, normal 
0, 4, 0, 0, 25, 32, 250, 1, normal 
0, 5, 0, 0, 41, 52, 250, 1, normal 
0, 6, 0, 0, 4, 5, 250, 1, normal 
0, 7, 0, 0, 16, 21, 250, 1, normal 
0, 8, 0, 0, 44, 56, 250, 1, normal 
0, 9, 0, 0, 32, 40, 250, 1, normal 
0, 10, 0, 0, 52, 65, 250, 1, normal 
0, 11, 0, 0, 58, 73, 250, 1, normal 
0, 12, 0, 0, 60, 75, 250, 1, normal 
0, 13, 0, 0, 8, 10, 250, 1, normal 
0, 14, 0, 0, 52, 65, 250, 1, normal 
0, 15, 0, 0, 65, 82, 250, 1, normal 
0, 16, 0, 0, 75, 94, 250, 1, normal 
