   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 48, 61, 750, 1, normal 
0, 1, 0, 0, 39, 49, 750, 1, normal 
0, 2, 0, 0, 75, 94, 750, 1, normal 
0, 3, 0, 0, 29, 37, 750, 1, normal 
0, 4, 0, 0, 68, 85, 750, 1, normal 
0, 5, 0, 0, 60, 75, 750, 1, normal 
0, 6, 0, 0, 2, 3, 750, 1, normal 
0, 7, 0, 0, 33, 42, 750, 1, normal 
0, 8, 0, 0, 68, 86, 750, 1, normal 
0, 9, 0, 0, 30, 38, 750, 1, normal 
0, 10, 0, 0, 26, 33, 750, 1, normal 
0, 11, 0, 0, 2, 3, 750, 1, normal 
0, 12, 0, 0, 61, 77, 750, 1, normal 
0, 13, 0, 0, 23, 29, 750, 1, normal 
0, 14, 0, 0, 6, 8, 750, 1, normal 
0, 15, 0, 0, 61, 77, 750, 1, normal 
0, 16, 0, 0, 38, 48, 750, 1, normal 
0, 17, 0, 0, 16, 20, 750, 1, normal 
0, 18, 0, 0, 17, 22, 750, 1, normal 
0, 19, 0, 0, 16, 21, 750, 1, normal 
0, 20, 0, 0, 55, 69, 750, 1, normal 
0, 21, 0, 0, 12, 16, 750, 1, normal 
0, 22, 0, 0, 16, 21, 750, 1, normal 
0, 23, 0, 0, 45, 57, 750, 1, normal 
0, 24, 0, 0, 0, 1, 750, 1, normal 
0, 25, 0, 0, 24, 30, 750, 1, normal 
0, 26, 0, 0, 46, 58, 750, 1, normal 
0, 27, 0, 0, 32, 40, 750, 1, normal 
0, 28, 0, 0, 11, 14, 750, 1, normal 
