Predecessor TID, Predecessor JID, Successor TID, Successor JID
0, 0, 0, 1
0, 0, 0, 2
0, 0, 0, 12
0, 1, 0, 30
0, 2, 0, 3
0, 2, 0, 6
0, 2, 0, 7
0, 3, 0, 4
0, 3, 0, 5
0, 4, 0, 23
0, 5, 0, 23
0, 6, 0, 28
0, 7, 0, 8
0, 7, 0, 9
0, 7, 0, 10
0, 7, 0, 11
0, 8, 0, 24
0, 9, 0, 24
0, 10, 0, 24
0, 11, 0, 24
0, 12, 0, 13
0, 12, 0, 16
0, 12, 0, 19
0, 13, 0, 14
0, 13, 0, 15
0, 14, 0, 25
0, 15, 0, 25
0, 16, 0, 17
0, 16, 0, 18
0, 17, 0, 26
0, 18, 0, 26
0, 19, 0, 20
0, 19, 0, 21
0, 19, 0, 22
0, 20, 0, 27
0, 21, 0, 27
0, 22, 0, 27
0, 23, 0, 28
0, 24, 0, 28
0, 25, 0, 29
0, 26, 0, 29
0, 27, 0, 29
0, 28, 0, 30
0, 29, 0, 30
