   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 70, 88, 2250, 1, normal 
0, 1, 0, 0, 50, 63, 2250, 1, normal 
0, 2, 0, 0, 61, 77, 2250, 1, normal 
0, 3, 0, 0, 26, 33, 2250, 1, normal 
0, 4, 0, 0, 56, 70, 2250, 1, normal 
0, 5, 0, 0, 20, 26, 2250, 1, normal 
0, 6, 0, 0, 61, 77, 2250, 1, normal 
0, 7, 0, 0, 38, 48, 2250, 1, normal 
0, 8, 0, 0, 3, 4, 2250, 1, normal 
0, 9, 0, 0, 53, 67, 2250, 1, normal 
0, 10, 0, 0, 46, 58, 2250, 1, normal 
0, 11, 0, 0, 8, 11, 2250, 1, normal 
0, 12, 0, 0, 14, 18, 2250, 1, normal 
0, 13, 0, 0, 26, 33, 2250, 1, normal 
0, 14, 0, 0, 47, 59, 2250, 1, normal 
0, 15, 0, 0, 39, 49, 2250, 1, normal 
0, 16, 0, 0, 77, 97, 2250, 1, normal 
0, 17, 0, 0, 22, 28, 2250, 1, normal 
