   Task ID,     Job ID,          Arrival min,          Arrival max,             Cost min,             Cost max,             Deadline,             Priority
0, 0, 0, 0, 49, 62, 450, 1, normal 
0, 1, 0, 0, 40, 50, 450, 1, normal 
0, 2, 0, 0, 27, 34, 450, 1, normal 
0, 3, 0, 0, 23, 29, 450, 1, normal 
0, 4, 0, 0, 46, 58, 450, 1, normal 
0, 5, 0, 0, 61, 77, 450, 1, normal 
0, 6, 0, 0, 51, 64, 450, 1, normal 
0, 7, 0, 0, 64, 80, 450, 1, normal 
0, 8, 0, 0, 77, 97, 450, 1, normal 
0, 9, 0, 0, 8, 11, 450, 1, normal 
0, 10, 0, 0, 59, 74, 450, 1, normal 
0, 11, 0, 0, 68, 85, 450, 1, normal 
0, 12, 0, 0, 62, 78, 450, 1, normal 
0, 13, 0, 0, 68, 86, 450, 1, normal 
0, 14, 0, 0, 43, 54, 450, 1, normal 
0, 15, 0, 0, 77, 97, 450, 1, normal 
0, 16, 0, 0, 69, 87, 450, 1, normal 
0, 17, 0, 0, 0, 1, 450, 1, normal 
0, 18, 0, 0, 42, 53, 450, 1, normal 
0, 19, 0, 0, 68, 86, 450, 1, normal 
0, 20, 0, 0, 76, 95, 450, 1, normal 
